Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748222422.105,50.1864700317383,-0.00221176794730127,,
3748222435.7725,50.1808528900146,0.0162197644822299,0.0344128710848845,2.46780887610475E-5
3748222446.49,50.1832885742188,50.062427520752,-0.0631475180782504,3.35128294387462E-5
3748222457.5185,50.1841621398926,100.127075195312,-0.156770809605374,2.81130189690525E-5
3748222469.874,50.1831207275391,150.005104064941,-0.246499534066953,2.47460740346807E-5
3748222480.4735,50.1812477111816,200.044410705566,-0.326591886876554,4.00916584828168E-5
3748222491.5065,50.1801319122314,250.016876220703,-0.389600963726601,5.86894276642928E-5
3748222502.492,50.1801662445068,299.980163574219,-0.430658580323508,0.000114000624983778
3748222512.5875,50.1782646179199,350.312042236328,-0.454057314665648,0.000266925784814832
3748222523.48,50.1768531799316,400.11865234375,-0.459523635986917,0.000149690182667578
3748222534.5235,50.1766300201416,449.98974609375,-0.461097300175726,0.00014467710894956
3748222545.4895,50.1758651733398,499.939178466797,-0.458108655363957,0.000204135585300287
3748222555.5065,50.1740646362305,550.317138671875,-0.454761187484272,0.000407833216447913
3748222566.428,50.1735153198242,600.114593505859,-0.438448988871708,0.000204221569205499
3748222576.463,50.1736469268799,650.3427734375,-0.431371528338999,0.000370937389655572
3748222587.382,50.17258644104,700.188568115234,-0.414464673927802,0.000216077241988397
3748222598.4595,50.1706085205078,750.144897460937,-0.402199933655929,0.000209310120723283
3748222609.39,50.1715641021729,800.156555175781,-0.389456925067471,0.000177501323410509
3748222620.3465,50.1696853637695,849.988494873047,-0.379186499842907,0.000170978486215857
3748222631.3645,50.1685276031494,900.094604492188,-0.367909714888294,0.000155209297220808
3748222642.3875,50.1676654815674,950.138488769531,-0.359181161458495,0.000174725269748218
3748222653.3435,50.1679344177246,1000.00955200195,-0.349371814565521,0.000140715642212922
3748222663.3665,50.1670265197754,1050.19396972656,-0.344386077829844,0.000245606912688866
3748222674.304,50.1660861968994,1100.13415527344,-0.333160895533595,0.000140468085248712
3748222686.313,50.1650943756103,1150.10906982422,-0.323804446333182,0.000102769650076463
3748222697.3345,50.1652011871338,1200.02624511719,-0.319483488837713,0.000138983192002452
3748222707.4025,50.1646690368652,1250.4619140625,-0.316957704918934,0.000256431432315574
3748222717.3925,50.1630249023438,1300.42742919922,-0.310536464847962,0.000247713717063635
